jurisdiction;applicant_name;applicant_country;total_applications;different_classes;active_in_classes;jurisdiction_description
DE;SIEMENS HEALTHCARE GMBH;DE;636;10;N/A;Germany (DPMA)
EP;Medtronic, Inc.;US;636;7;N/A;European Patent Office
US;Align Technology, Inc.;US;599;6;N/A;United States (USPTO)
EP;Becton, Dickinson and Company;US;583;7;N/A;European Patent Office
US;DePuy Synthes Products, Inc.;US;577;9;N/A;United States (USPTO)
EP;Edwards Lifesciences Corporation;US;563;6;N/A;European Patent Office
US;ResMed Pty Ltd;AU;541;8;N/A;United States (USPTO)
EP;Cilag GmbH International;CH;536;7;N/A;European Patent Office
US;Terumo Kabushiki Kaisha;JP;526;8;N/A;United States (USPTO)
US;Alcon Inc.;CH;511;10;N/A;United States (USPTO)
EP;Boston Scientific Scimed, Inc.;US;506;8;N/A;European Patent Office
US;DexCom, Inc.;US;479;4;N/A;United States (USPTO)
US;Fisher & Paykel Healthcare Limited;NZ;476;8;N/A;United States (USPTO)
US;SMITH & NEPHEW, INC.;US;458;8;N/A;United States (USPTO)
US;Shanghai United Imaging Healthcare Co., Ltd.;CN;441;8;N/A;United States (USPTO)
