Applicant_Name,Sector,Patent_Families,First_Year,Last_Year,Person_IDs,Rank,Family_ID_List
"DE LEON, JORGE IVAN GARZA",Individual,2,2018,2018,2,1928,"[69642056, 69645083]"
DAVID ANDREW JOHNSTON,Individual,2,2007,2012,1,1929,"[38135238, 46799727]"
"QINGHAI ASIA SILICON INDUSTRY POLYSILICON CO., LTD.",Company,2,2023,2023,1,1930,"[89595728, 90036958]"
"QINGHAI ASIA SILICON SILICON MATERIALS CO., LTD.",Company,2,2023,2023,1,1931,"[89595728, 90036958]"
QINGHAI NEGO NEW ENERGY COMPANY,Company,2,2021,2023,1,1932,"[79058898, 89938564]"
SAKAMOTO ATSUSHI,Individual,2,2009,2010,2,1933,"[43032263, 45993941]"
SAFRAN,Company,2,2022,2022,1,1934,"[81749045, 82693963]"
SABIC (SAUDI BASIC INDUSTRIES CORPORATION),Company,2,2014,2015,7,1935,"[54365326, 56417641]"
"SAEAN CO.,LED.",Company,2,2014,2019,1,1936,"[53872849, 73451391]"
S.E.R.L. SCIENCE TRUSTEE,Company,2,2004,2004,5,1937,"[34859274, 40599884]"
Raul Alberto Iglesias Schoo,Company,2,2022,2022,1,1938,"[89309907, 89309911]"
"Collier, Terence",Individual,2,2018,2018,1,1939,"[81944127, 83547204]"
Carbon Atlantis GmbH,Company,2,2022,2023,1,1940,"[87759545, 90810982]"
CUE CORPORATION,Company,2,2022,2022,1,1941,"[83029878, 83441013]"
CUI DELIANG,Individual,2,2018,2018,1,1942,"[63970168, 66230542]"
CSIRO (COMMONWEALTH SCIENTIFIC AND INDUSTRIAL RESEARCH ORGANISATION),Government/Non-Profit,2,2007,2007,4,1943,"[40001586, 40386572]"
CTP HYDROGEN CORPORATION,Company,2,2004,2006,3,1944,"[35677497, 38535312]"
CRRC ENERGY TECHNOLOGY (BEIJING) COMPANY,Company,2,2015,2015,1,1945,"[54376180, 54410288]"
CRRC QINGDAO SIFANG COMPANY,Company,2,2016,2016,5,1946,"[57225737, 58033208]"
CSCEC AECOM CONSULTANTS COMPANY,Company,2,2023,2023,1,1947,"[87214628, 89139765]"
SAMSUNG SDI COMPANY,Company,2,2004,2006,3,1948,"[35136844, 38584657]"
PUREGENERATION (UK),Company,2,2007,2007,2,1949,"[39766697, 40456233]"
PUJIANG SIXINTONG TECHNOLOGY COMPANY,Company,2,2022,2022,1,1950,"[83069881, 85628291]"
PUKYONG NATIONAL UNIVERSITY INDUSTRY-UNIVERSITY COOPERATION FOUNDATION,University,2,2008,2020,3,1951,"[40698750, 79554780]"
"PULALE (NANJING) INSTRUMENT TECHNOLOGY CO., LTD.",Company,2,2022,2022,1,1952,"[82687735, 83367169]"
PUBLICHNOE AKTSIONERNOE OBSHCHESTVO 'RAKETNO-KOSMICHESKAYA KORPORATSIYA 'ENERGIYA' IMENI S.P. KOROLEVA',Company,2,2017,2017,1,1953,"[64603606, 64603751]"
PRINCETON UNIVERSITY,University,2,2013,2021,2,1954,"[52480378, 85200700]"
"PREDIKANT, PETER M.",Individual,2,2010,2010,3,1955,"[42543143, 43431224]"
"PRAKASH, G.K. SURYA",Individual,2,2007,2007,2,1956,"[40229676, 42396804]"
"SANYA WEIHUI NETWORK TECHNOLOGY CO., LTD.",Company,2,2023,2023,1,1957,"[88479615, 88912112]"
"DELAHAYE, THIBAUD",Individual,2,2006,2010,3,1958,"[37913637, 44148855]"
DE-SION COMPANY,Company,2,2013,2013,1,1959,"[52696190, 52816387]"
"QINGDAO CREATIVE JINDE NEW ENERGY SCIENCE AND TECHNOLOGY CO., LTD",Company,2,2022,2022,1,1960,"[82000628, 82094670]"
QINGDAO CREATIVE NEW ENERGY CATALYSIS SCIENCE AND TECHNOLOGY LIMITED COMPANY,Company,2,2021,2021,1,1961,"[80872790, 80971511]"
QILU UNIVERSITY OF TECHNOLOGY,University,2,2019,2019,1,1962,"[67591272, 67792626]"
QIAO LINYOU,Individual,2,2007,2007,1,1963,"[39479627, 39900549]"
PUTIAN HAIFA AQUATIC PRODUCTS DEVELOPMENT COMPANY,Company,2,2016,2016,1,1964,"[57782105, 57782111]"
"SCIENCE AND TECHNOLOGY BRANCH OF CHONGQING YUANDA FLUE GAS TREATMENT FRANCHISING CO., LTD.",Company,2,2023,2023,1,1965,"[88662432, 90146963]"
"SCHUMACHER, GUIDO",Individual,2,2023,2023,1,1966,"[89897279, 90717255]"
"SCHLUETER, CLAUS",Individual,2,2000,2002,1,1967,"[7661789, 32519431]"
"SCHAACK, KLAUS",Individual,2,2003,2003,2,1968,"[34041844, 34066320]"
SATO TOSHIGORO,Individual,2,2005,2007,1,1969,"[37412178, 39911715]"
"SATA, SHUNSUKE",Individual,2,2007,2010,3,1970,"[39476826, 45892544]"
SATO KATSUYOSHI,Individual,2,2017,2018,1,1971,"[62384905, 64288897]"
SASAKI HIROSHI,Individual,2,2012,2012,1,1972,"[49881530, 49881531]"
QINGDAO HAIER STRAUSS WATER EQUIPMENT COMPANY,Company,2,2021,2021,1,1973,"[77577464, 80290454]"
"QINGDAO DERUN RUIXIANG NEW ENERGY TECHNOLOGY CO., LTD.",Company,2,2022,2022,1,1974,"[85500752, 86572046]"
SE MAWAN POWER COMPANY,Company,2,2022,2022,1,1975,"[83991189, 84182557]"
CROPLEY HOLDINGS,Company,2,2005,2006,6,1976,"[37073053, 40204736]"
CROSS-STRAIT TSINGHUA RESEARCH INSTITUTE (XIAMEN),Government/Non-Profit,2,2022,2022,1,1977,"[83478632, 84064050]"
COVESTRO INTELLECTUAL PROPERTY & COMPANY,Company,2,2019,2019,5,1978,"[66655195, 68242295]"
SCIENCE TECHNOLOGY INTERACT,Company,2,2002,2006,1,1979,"[32264188, 38488731]"
"SCHWARZ, KEVIN",Individual,2,2001,2008,2,1980,"[34911460, 41315117]"
SHAANXI QUAN TONG INDUSTRIAL GROUP COMPANY,Company,2,2021,2021,1,1981,"[77476168, 79638252]"
SHAANXI SHANZE AGRICULTURAL SCIENCE AND TECHNOLOGY COMPANY,Company,2,2013,2013,1,1982,"[50573080, 52876667]"
SHAANXI PROVINCIAL INSTITUTE OF ENERGY RESOURCES & CHEMICAL ENGINEERING,Government/Non-Profit,2,2023,2023,1,1983,"[87646398, 88134676]"
"CORBISHLEY, TERRENCE J",Individual,2,2011,2012,1,1984,"[44203186, 46881505]"
"CORBISHLEY, TIMOTHY J H",Individual,2,2011,2012,1,1985,"[44203186, 46881505]"
DENNIS J. KLEIN,Individual,2,2001,2006,1,1986,"[34860730, 38922738]"
POWERCHINA JIANGXI ELECTRIC POWER DESIGNING INSTITUTE COMPANY,Company,2,2023,2023,1,1987,"[88269144, 90854499]"
"POWERCHINA OVERSEAS INVESTMENT CO., LTD.",Company,2,2023,2023,1,1988,"[86074191, 87507718]"
"COLOMBAN, PHILIPPE",Individual,2,2007,2011,2,1989,"[38924627, 47040711]"
SHANDONG HONGDA BIOTECHNOLOGY COMPANY,Company,2,2016,2016,1,1990,"[57596572, 57674398]"
SHANDONG HONGSHANSHU HYDROGEN MEDICAL RESEARCH COMPANY,Company,2,2016,2016,1,1991,"[56972624, 57067584]"
SHANDONG HAIHUA GROUP COMPANY,Company,2,2023,2023,1,1992,"[89626062, 89635123]"
SHANDONG FUFA HYDROGEN ENERGY TECHNOLOGY DEVELOPMENT COMPANY,Company,2,2020,2020,1,1993,"[73954725, 76622997]"
SHANDONG AUYAN NEW ENERGY TECHNOLOGY COMPANY,Company,2,2022,2023,1,1994,"[88037582, 88139888]"
"SHANDONG BINHUA HYDROGEN ENERGY CO., LTD.",Company,2,2022,2023,1,1995,"[87863034, 91785604]"
SHANDONG BOSHIDA ENVIRONMENTAL PROTECTION TECHNOLOGY COMPANY,Company,2,2021,2021,1,1996,"[77440683, 78496985]"
SGL CARBON,Company,2,2000,2004,2,1997,"[7629784, 34927779]"
"SERRANO VILLAGRA, GUILLERMO ALEJANDRO",Individual,2,2021,2023,1,1998,"[85131235, 92500294]"
"SEO, DONG WOOK",Individual,2,2014,2016,1,1999,"[56191522, 62486195]"
SEONYU ENGINEERING & CORP.,Company,2,2023,2023,1,2000,"[89320600, 89511705]"
"SELANO, JEFF",Individual,2,2008,2008,1,2001,"[42221641, 42221806]"
SEIKO EPSON CORPORATION,Company,2,2004,2015,4,2002,"[35022106, 56693478]"
"SEIPEL, PETER",Individual,2,2003,2003,2,2003,"[34041844, 34066320]"
COMPAGNIE GENERALE DES ETABLISSEMENTS MICHELIN,Company,2,2009,2010,4,2004,"[42112228, 43384424]"
"DENGEL, ANDREAS",Individual,2,2005,2005,2,2005,"[36127265, 36973516]"
CORE TECH COMPANY,Company,2,2009,2011,2,2006,"[44046561, 47329863]"
CORNING,Company,2,2002,2005,4,2007,"[32174785, 37875670]"
"COOPER, BRETTON MR",Individual,2,2014,2014,1,2008,"[50548877, 51230314]"
"CONRAD, WAYNE ERNEST",Individual,2,2005,2006,2,2009,"[37073053, 40204736]"
"SHAANXI KONGTIAN POWER EQUIPMENT TECHNOLOGY CO., LTD.",Company,2,2023,2023,1,2010,"[86442326, 88134331]"
SHAANXI BLOWER (GROUP) COMPANY,Company,2,2023,2023,1,2011,"[87226013, 88455436]"
SHAANXI COAL AND CHEMICAL TECHNOLOGY INSTITUTE COMPANY,Company,2,2018,2022,1,2012,"[64430367, 84946376]"
SHANDONG JINLING CHEMICAL INDUSTRY COMPANY,Company,2,2009,2009,1,2013,"[41286008, 41286169]"
SHANDONG KANGHUI WATER TREATMENT EQUIPMENT COMPANY,Company,2,2012,2012,1,2014,"[47036359, 47655964]"
"SHANDONG LANTUO HYDROGEN ENERGY TECHNOLOGY CO., LTD.",Company,2,2023,2023,1,2015,"[89749483, 90206214]"
SHANDONG HYDROGEN VALLEY NEW ENERGY TECHNOLOGY RESEARCH INSTITUTE,Research Institution,2,2021,2021,1,2016,"[81742853, 81744183]"
SHANDONG JIEDERUN AUTOMOBILE TECHNOLOGY COMPANY,Company,2,2018,2018,1,2017,"[65086904, 67525603]"
COMPAGNIE EUROPEENNE DES TECHNOLOGIES DE L'HYDROGENE,Company,2,2009,2010,1,2018,"[42144917, 42734646]"
"PETERS, BRUCE H.",Individual,2,2008,2008,1,2019,"[42195230, 42264104]"
PEREGRINE HYDROGEN INC.,Company,2,2022,2022,1,2020,"[90471562, 92216325]"
CITIC JINZHOU METAL COMPANY,Company,2,2011,2014,1,2021,"[44517935, 51705012]"
CIVIL AVIATION FLIGHT UNIVERSITY OF CHINA,University,2,2023,2023,1,2022,"[89467324, 89647990]"
SHANDONG WEIERMING BIOTECHNOLOGY COMPANY,Company,2,2020,2020,1,2023,"[72972167, 74769839]"
SHANDONG XINGSHUN NEW MATERIAL COMPANY,Company,2,2023,2023,1,2024,"[86962278, 89132017]"
SHANDONG XINRI ELECTRIC EQUIPMENT COMPANY,Company,2,2021,2023,1,2025,"[79965738, 89411826]"
SHANDONG TAIHE ENVIRONMENTAL POLYTRON TECHNOLOGIES,Company,2,2019,2019,2,2026,"[66457963, 68709447]"
SHANDONG NON-METALLIC MATERIAL INSTITUTE,Government/Non-Profit,2,2022,2023,1,2027,"[84589085, 89916564]"
SHANDONG LUBA CHEMICAL COMPANY,Company,2,2016,2016,1,2028,"[56716439, 56717440]"
"PIATKE, WERNER",Individual,2,2008,2010,1,2029,"[41605666, 43303861]"
PHEMAX TECHNOLOGIES,Company,2,2010,2011,1,2030,"[43794605, 47444244]"
PHILLIPS 66 COMPANY,Company,2,2012,2021,2,2031,"[50484352, 83998472]"
PETROLIAM NASIONAL BERHAD (PETRONAS),Company,2,2009,2023,1,2032,"[43085194, 92147091]"
PH MATTER,Company,2,2017,2017,5,2033,"[63856436, 67346402]"
DIONEX CORPORATION,Company,2,2000,2013,8,2034,"[24077473, 52133822]"
CNOOC OIL & PETROCHEMICALS COMPANY,Company,2,2021,2021,1,2035,"[76563224, 78355383]"
CLEAN POWER HYDROGEN,Company,2,2013,2013,6,2036,"[48537302, 48914706]"
POWERCHINA CENTRAL CHINA ELECTRIC POWER ENGINEERING CORPORATION,Company,2,2023,2023,1,2037,"[90268681, 91531147]"
POWERCHINA CHENGDU ENGINEERING CORPORATION,Company,2,2022,2023,1,2038,"[84585757, 90155317]"
POWERCHINA HENAN ELECTRIC POWER SURVEY & DESIGN INSTITUTE COMPANY,Company,2,2023,2023,1,2039,"[90268681, 91531147]"
POWER TO HYDROGEN,Company,2,2017,2017,2,2040,"[63856436, 74259671]"
PLANTEC,Company,2,2021,2022,1,2041,"[83659000, 89121109]"
"PLANQUE, MICHEL",Individual,2,2010,2011,2,2042,"[42370920, 46420078]"
PINGXIANG SITONG ENVIRONMENTAL PROTECTION TECHNOLOGY COMPANY,Company,2,2020,2020,1,2043,"[72484237, 72543316]"
PI (SHANGHAI) NEW ENERGY TECHNOLOGY COMPANY,Company,2,2015,2016,2,2044,"[55326071, 58143638]"
"SHANGHAI H-RISE ENERGY TECHNOLOGY CO., LTD.",Company,2,2022,2022,1,2045,"[86640569, 87451249]"
SHANGHAI EVIAN INDUSTRY TECHNOLOGY COMPANY,Company,2,2023,2023,1,2046,"[88428409, 88826337]"
SHANGHAI DIANJI UNIVERSITY,University,2,2017,2023,1,2047,"[59172649, 87325916]"
SHANGHAI COMMUNICATION UNIV.,University,2,2006,2006,1,2048,"[37608955, 37608956]"
SHANGHAI AEROSPACE SMART ENERGY TECHNOLOGY COMPANY,Company,2,2020,2020,1,2049,"[76043226, 79717931]"
DNIPRODZERZHYNSK STATE TECHNICAL UNIVERSITY,University,2,2009,2010,1,2050,"[50689057, 50837955]"
DOCTORSMAN COMPANY,Company,2,2014,2018,2,2051,"[55657464, 63104435]"
"DLUZNIEWSKI, TOMASZ JERZY",Individual,2,2011,2011,1,2052,"[44946947, 46543354]"
CITIC DAMENG MINING INDUSTRIES,Company,2,2009,2019,2,2053,"[42092994, 69112643]"
CICCARELLA GIUSEPPE,Individual,2,2008,2009,3,2054,"[39791754, 41396436]"
CIMC ENRIC INVESTMENT HOLDINGS (SHENZHEN) COMPANY,Company,2,2023,2023,1,2055,"[91285804, 91373928]"
"CIMC GREEN ENERGY LOW CARBON TECHNOLOGY (GUANGDONG) CO., LTD.",Company,2,2023,2023,1,2056,"[91285804, 91373928]"
CHUNGNAM NATIONAL UNIVERSITY,University,2,2010,2021,2,2057,"[45499008, 85326418]"
SHANGHAI HONGTU JIANMING NEW ENERGY TECHNOLOGY COMPANY,Company,2,2016,2016,2,2058,"[55927276, 56351774]"
SHANGHAI GAS ENGINEERING DESIGN & RESEARCH COMPANY,Company,2,2022,2022,1,2059,"[83293936, 83589973]"
SHANGHAI GREEN GIANT JUSTICIA ENERGY SCIENCE AND TECHNOLOGY LIMITED COMPANY,Company,2,2020,2020,1,2060,"[81090142, 81193550]"
"PARK, YONG HYO",Individual,2,2002,2002,1,2061,"[37349216, 37352038]"
"PARK, SEUNG YEOL",Individual,2,2016,2017,3,2062,"[57573379, 64455526]"
"DOERR, HEINZ-KURT",Individual,2,2005,2005,2,2063,"[36127265, 36973516]"
DOLKI KOREA,Company,2,2009,2013,2,2064,"[44196259, 52280173]"
DOMON HIROKI,Individual,2,2009,2011,3,2065,"[43779100, 46757956]"
SHANGHAI HYDROGEN MOBILE REFORMER INSTRUMENT COMPANY,Company,2,2012,2016,2,2066,"[47153511, 61359531]"
SHANGHAI HYMI ENGINEERING TECHNOLOGY LIMITED COMPANY,Company,2,2021,2021,1,2067,"[81494347, 82008426]"
"CIPOLLINI, NED, E.",Individual,2,2006,2010,2,2068,"[39111040, 43971260]"
"PEREZ BARBACHANO, JAVIER",Individual,2,2007,2010,2,2069,"[39357409, 42332379]"
PENG ZHAOQIN,Individual,2,2014,2014,1,2070,"[52940434, 53257892]"
PCC HYDROGEN INC.,Company,2,2021,2021,3,2071,"[86228557, 87851121]"
PEARSON MARTIN T.,Company,2,2002,2002,1,2072,"[32654657, 32654661]"
PAUL FRANCIS GARRY,Company,2,2021,2021,1,2073,"[78718490, 79163948]"
PAUL WURTH,Company,2,2020,2021,5,2074,"[74215761, 79025075]"
PARPALEI OLEKSANDRA ILLIVNA,Individual,2,2003,2006,1,2075,"[34391816, 38469186]"
"PARPALEY, ALEKSANDRA ILLINICHNA",Individual,2,2003,2003,2,2076,"[34374657, 34391816]"
"ORDOS TANZHONGHE RESEARCH APPLICATION CO., LTD.",Company,2,2022,2023,1,2077,"[85645772, 88533496]"
ORGANO,Company,2,2004,2014,2,2078,"[35900717, 53893348]"
OMUSHII,Company,2,2007,2007,1,2079,"[40321908, 40321909]"
OM ENERGY,Company,2,2003,2008,7,2080,"[32173546, 42116445]"
"OMELCHENKO, YURI ALEXEEVICH",Individual,2,2011,2011,1,2081,"[44946947, 46543354]"
"SHANGHAI MUWO ELECTRONIC TECHNOLOGY CO., LTD.",Company,2,2021,2021,1,2082,"[79578296, 80158304]"
SHANGHAI LIANHONG ISOTOPE TECHNOLOGY COMPANY,Company,2,2008,2009,1,2083,"[41270184, 41512282]"
SHANGHAI LANBIN PETROCHEMICAL EQUIPMENT COMPANY,Company,2,2023,2023,1,2084,"[87400151, 87856491]"
"OTTERSTROM, GARY, G.",Individual,2,2004,2004,2,2085,"[35450946, 37447155]"
OTOME YUJI,Individual,2,2005,2008,1,2086,"[38094269, 42563746]"
OSSTEMIMPLANT COMPANY,Company,2,2016,2016,1,2087,"[62082991, 62082992]"
OSAKA PREFECTURE UNIVERSITY,University,2,2006,2010,1,2088,"[38627907, 44791412]"
OSAKA SODA COMPANY,Company,2,2018,2022,4,2089,"[70853399, 89622444]"
OSAKA UNIVERSITY,University,2,2013,2021,2,2090,"[52820651, 83228133]"
"OROSKAR, ANIL R.",Individual,2,2004,2006,3,2091,"[36097777, 38748519]"
ORIGINOIL,Company,2,2010,2013,2,2092,"[45327705, 52666998]"
P&T TECHNOLOGY,Company,2,2000,2000,1,2093,"[7644581, 26005063]"
OZOSL TECHNOLOGY COMPANY,Company,2,2019,2019,1,2094,"[68215275, 68215323]"
OXYPRO,Company,2,2016,2017,2,2095,"[60330420, 66247208]"
DONGDA NONFERROUS SOLID WASTE TECHNOLOGY RESEARCH INSTITUTE (LIAONING) COMPANY,Company,2,2023,2023,1,2096,"[89497067, 89784878]"
OVERPLUS POWER COMPANY,Company,2,2017,2021,1,2097,"[66846518, 84923767]"
OVSJANNIKOV EVGENIJ MIKHAJLOVICH,Individual,2,2006,2008,1,2098,"[38955748, 42120759]"
OUTOTEC (FINLAND),Company,2,2013,2017,5,2099,"[47997525, 59901485]"
"OUWERKERK, DAVID, B.",Individual,2,2008,2009,1,2100,"[41528351, 43029598]"
"PARK, KEUN SHIK",Individual,2,2011,2013,1,2101,"[47838537, 52451546]"
"PARIKH, PRIMIT, A.",Individual,2,2007,2007,1,2102,"[40429606, 40568027]"
"PARK, DA EUN",Individual,2,2021,2022,1,2103,"[79178040, 91033023]"
PARAGON SPACE DEVELOPMENT CORPORATION,Company,2,2016,2019,3,2104,"[67685069, 70847554]"
PANGANG GROUP STEEL VANADIUM & TITANIUM COMPANY,Company,2,2010,2011,1,2105,"[46089673, 47762449]"
"PANZHIHUA IRON & STEEL RESEARCH INSTITUTE, PANGANG GROUP",Company,2,2017,2022,1,2106,"[61962660, 82717301]"
"PAL, UDAY, B.",Individual,2,2005,2011,2,2107,"[37571235, 47746845]"
"PALMER, CRAIG R.",Individual,2,2004,2004,2,2108,"[34994339, 35428868]"
"SHANGHAI NALJI ENERGY TECHNOLOGY CO., LTD.",Company,2,2021,2021,1,2109,"[81685421, 81889612]"
SHANGHAI MGPOWER TECHNOLOGY COMPANY,Company,2,2017,2019,1,2110,"[63645387, 67631100]"
DONGYING COLT NEW MATERIAL COMPANY,Company,2,2023,2023,1,2111,"[86512314, 86800332]"
"DOOSAN ENERBILITY CO., LTD.",Company,2,2021,2022,1,2112,"[83270816, 88293790]"
DOOSAN LENTJES,Company,2,2018,2020,7,2113,"[63442482, 69740254]"
DONGRAB COMPANY,Company,2,2013,2017,1,2114,"[53375453, 60575447]"
DONGSHIN UNIVERSITY INDUSTRY-ACADEMY COOPERATION,University,2,2015,2017,1,2115,"[58403100, 66680738]"
DONGGUAN YIH TEH ELECTRIC PRODUCTS COMPANY,Company,2,2020,2020,1,2116,"[77895318, 78034353]"
SHANGHAI SPACEFLIGHT WISDOM ENERGY TECHNOLOGY COMPANY,Company,2,2019,2019,2,2117,"[67915255, 68506707]"
CHONGQING UNIVERSITY OF POSTS AND TELECOMMUNICATIONS,University,2,2023,2023,1,2118,"[87779863, 88634843]"
CHONGQING FENGTANGMEI AGRICULTURAL DEVELOPMENT COMPANY,Company,2,2015,2015,2,2119,"[55412929, 56151941]"
CHONGQING CHU HAO FOOD RESEARCH INSTITUTE COMPANY,Company,2,2019,2019,1,2120,"[69975573, 71495926]"
CHONGQING DIFENG ENVIRONMENTAL PROTECTION TECHNOLOGY COMPANY,Company,2,2018,2018,1,2121,"[65304757, 67873263]"
"SHANGHAI SHANMEI HIGH-TECH RESEARCH INSTITUTE CO., LTD.",Research Institution,2,2023,2023,1,2122,"[88456367, 90374231]"
"SHANGHAI QINGBANLV HEALTH TECHNOLOGY CO., LTD.",Healthcare/Hospital,2,2021,2023,1,2123,"[82384623, 89520786]"
SHANGHAI PROTACTINIUM NEW ENERGY SCIENCE AND TECHNOLOGY LIMITED COMPANY,Company,2,2021,2021,1,2124,"[80689492, 81834463]"
"SHANGHAI JIN AN HUI CHU ENERGY CO., LTD.",Company,2,2023,2023,1,2125,"[89046424, 89208115]"
SHANGHAI JINGUANGROU BIOTECHNOLOGY COMPANY,Company,2,2019,2019,1,2126,"[67593957, 70922501]"
SHANGHAI JINGYU ENVIRONMENT ENGINEERING COMPANY,Company,2,2016,2016,1,2127,"[59371534, 59371900]"
SHANGHAI JINGYU ENVIRONMENTAL ENGINEERING COMPANY,Company,2,2016,2016,1,2128,"[58273974, 58808657]"
SHANGHAI JIPING NEW ENERGY TECHNOLOGY COMPANY,Company,2,2023,2023,1,2129,"[87618221, 88211152]"
SHANGHAI ICT DEVELOPER ENERGY TECHNOLOGY COMPANY,Company,2,2023,2023,1,2130,"[90215043, 90499036]"
SHANGHAI INVESTIGATION DESIGN & RESEARCH INSTITUTE,Company,2,2023,2023,1,2131,"[87841073, 89125847]"
SHANGHAI UNIVERSITY OF ENGINEERING SCIENCE,University,2,2023,2023,1,2132,"[90015346, 90319641]"
SHANGHAI LANGYAN OPTOELECTRONICS TECHNOLOGY COMPANY,Company,2,2019,2019,1,2133,"[66194155, 66263263]"
CHU LIZHENG,Individual,2,2010,2010,1,2134,"[43452645, 43483788]"
CHUBE UNIV,University,2,2003,2017,2,2135,"[34365954, 63715511]"
CHRISTOPHER DENHAM WALL,Individual,2,2008,2008,1,2136,"[39722047, 40097809]"
CHONGQING ZHAOYANG GAS COMPANY,Company,2,2014,2014,1,2137,"[51819245, 52940432]"
CHONGQING YANGZHOU RUI ELECTRONIC SHARE LIMITED COMPANY,Company,2,2021,2021,1,2138,"[81265367, 81265445]"
SHANGHAI KANGKAODI ENVIRONMENTAL PROTECTION TECHNOLOGY COMPANY,Company,2,2021,2021,1,2139,"[77817697, 79893350]"
SHANGHAI KEFEI XINRUI TECHNOLOGY PARTNERSHIP ENTERPRISE (LIMITED PARTNERSHIP),Company,2,2023,2023,1,2140,"[88801722, 89368784]"
"DOPP, ROBERT, BRIAN",Individual,2,2004,2007,1,2141,"[39741954, 42730979]"
OGAWA TAKUYA,Individual,2,2004,2010,2,2142,"[35089621, 45932981]"
"OEPEN, ERNST",Individual,2,2007,2010,1,2143,"[40227085, 44675377]"
OAKES THOMAS W.,Individual,2,2004,2004,1,2144,"[46063304, 46752619]"
"OAKES, ROBERT E.",Individual,2,2004,2004,1,2145,"[46063304, 46752619]"
O'BRIEN; JAMES E.,Individual,2,2006,2008,1,2146,"[38985055, 41087509]"
Nature Energy Biogas A/S,Company,2,2021,2021,1,2147,"[79164726, 79165083]"
NUOVO PIGNONE TECNOLOGIE,Company,2,2021,2021,5,2148,"[75660284, 80461700]"
SHANTOU UNIVERSITY,University,2,2023,2023,1,2149,"[88943949, 88994603]"
SHANXI DATONG UNIVERSITY,University,2,2017,2017,1,2150,"[62536942, 62938941]"
SHANGHAI ZUNMA AUTO PIPE COMPANY,Company,2,2023,2023,1,2151,"[87385067, 87417344]"
"SHANGHAI YIJING ENERGY TECHNOLOGY CO., LTD.",Company,2,2021,2021,1,2152,"[82592075, 82789041]"
"SHANGHAI WEIZHAN TECHNOLOGY CO., LTD.",Company,2,2023,2023,1,2153,"[88777448, 91055313]"
SHANGHAI WISON MARINE ENGINEERING COMPANY,Company,2,2021,2021,1,2154,"[79900147, 79900160]"
DR. GENE,Individual,2,2018,2018,1,2155,"[67907989, 68067584]"
DOU ZHUO,Individual,2,2015,2015,1,2156,"[56517056, 56518435]"
"SHELL USA, INC.",Individual,2,2022,2022,1,2157,"[84602065, 84799926]"
"SHAW, JOHN, M.",Individual,2,2001,2001,2,2158,"[4170032, 25682726]"
SHAXIAN HONGSHENG PLASTICS COMPANY,Company,2,2020,2020,1,2159,"[73664211, 73664301]"
"CHOI, SOO MYOUNG",Individual,2,2009,2009,1,2160,"[41604979, 41685314]"
CHONBUK NATIONAL UNIVERSITY,University,2,2012,2016,2,2161,"[47899717, 60387595]"
CHONG PATRICIA S.,Company,2,2002,2002,2,2162,"[32654657, 32654661]"
"CHOI, JUNG GEU",Individual,2,2008,2008,1,2163,"[39804356, 40370626]"
"CHOI, CHEUN KI",Individual,2,2015,2019,1,2164,"[58459978, 75148351]"
DONGGUK UNIVERSITY,University,2,2021,2022,1,2165,"[85329402, 91712648]"
DONGGUAN MEIQINGYUAN BIOTECHNOLOGY COMPANY,Company,2,2018,2018,1,2166,"[62888377, 66746457]"
OKAMOTO ATSUSHI,Individual,2,2009,2010,2,2167,"[43411008, 46051057]"
OKANO TAKAYUKI,Individual,2,2011,2011,1,2168,"[46515576, 47258961]"
OKAY PLASTICS & ELECTRONIC COMPANY,Company,2,2016,2017,2,2169,"[57201043, 62696481]"
OKISHIRO KENJI,Individual,2,2012,2012,1,2170,"[49881530, 49881531]"
OHMORI HIROKO,Individual,2,2011,2011,1,2171,"[46515576, 47258961]"
OISHI-SOYO,Individual,2,2017,2017,1,2172,"[62269121, 65658380]"
"DRAGONI, Mario",Individual,2,2020,2021,1,2173,"[74592622, 79269790]"
"DRAGONI, Matteo",Individual,2,2020,2021,1,2174,"[74592622, 79269790]"
NORTHEAST DIANLI UNIVERSITY,University,2,2014,2023,2,2175,"[52937571, 87147275]"
NORTHEAST FORESTRY UNIVERSITY,University,2,2021,2022,1,2176,"[78683878, 86481132]"
NORTH CHINA MUNICIPAL ENGINEERING DESIGN & RESEARCH INSTITUTE,Company,2,2022,2023,1,2177,"[84880761, 88429878]"
NORSK HYDRO,Company,2,2004,2006,2,2178,"[35005969, 38845828]"
NOMURA NAOKI,Individual,2,2002,2004,2,2179,"[32454571, 35150026]"
NORA ELETTRODI,Company,2,2001,2003,2,2180,"[26838798, 33490617]"
CHIRIAC RADU,Individual,2,2006,2010,3,2181,"[38922738, 43333325]"
SHENGDONG RUDONG OFFSHORE WIND POWER GENERATION COMPANY,Company,2,2022,2022,1,2182,"[85257419, 85764605]"
SHENGZHEN BAOAN DISTRICT XIXIANG VILLAGE CHENTIANTANGFENG ELECTRICAL APPLIANCE FACTORY,Company,2,2006,2007,1,2183,"[36917845, 39624827]"
SHENG XIAOCHUN,Individual,2,2019,2019,1,2184,"[69610232, 71707269]"
SHENG YUEDAN,Individual,2,2015,2015,1,2185,"[53932999, 53933000]"
DROŹDZIK RADOSŁAW FELICITAS A-C,Company,2,2019,2019,1,2186,"[69845503, 70058432]"
DU GUODONG,Individual,2,2018,2018,2,2187,"[66959934, 66959952]"
