Applicant_Name,Sector,Patent_Families,First_Year,Last_Year,Person_IDs,Rank,Family_ID_List
SICHUAN HUANENG BAOXINGHE WATER POWER COMPANY,Company,105,2021,2023,1,11,"[78388019, 78419632, 78419635, 78478379, 78548952, 78658060, 78684563, 78736976, 78937626, 78966314, 78966971, 78967979, 78985790, 78992458, 79016331, 79185019, 79189045, 79236898, 79246286, 79284831, 79284832, 79284848, 79337269, 79393853, 79462988, 79467649, 79561233, 79750111, 79853027, 79884953, 79902706, 79906045, 79918567, 79930970, 80007797, 80016609, 80138159, 80297835, 82194940, 82195052, 82231814, 82345443, 82381314, 82381562, 82381841, 82390135, 82439341, 82442216, 82474677, 82475196, 82475211, 82485915, 82510691, 82536002, 82567117, 82596824, 82635657, 82981260, 82983120, 83026364, 83027489, 83128980, 83199255, 83258373, 83408167, 83412755, 83609958, 83738113, 83750239, 83766525, 83773772, 83790213, 83791607, 83792652, 83855031, 83855374, 83864589, 83953608, 84079882, 84099478, 84105032, 84201101, 84316596, 84317352, 84448924, 84515052, 84516897, 85292576, 85292577, 85523252, 85533849, 85535183, 85535334, 85997996, 85998697, 86001756, 86033836, 87180689, 87535249, 88381902, 88461052, 89728867, 90330213, 90335841, 90565114]"
SICHUAN HUANENG TAIPINGYI HYDROPOWER COMPANY,Company,105,2021,2023,1,12,"[78388019, 78419632, 78419635, 78478379, 78548952, 78658060, 78684563, 78736976, 78937626, 78966314, 78966971, 78967979, 78985790, 78992458, 79016331, 79185019, 79189045, 79236898, 79246286, 79284831, 79284832, 79284848, 79337269, 79393853, 79462988, 79467649, 79561233, 79750111, 79853027, 79884953, 79902706, 79906045, 79918567, 79930970, 80007797, 80016609, 80138159, 80297835, 82194940, 82195052, 82231814, 82345443, 82381314, 82381562, 82381841, 82390135, 82439341, 82442216, 82474677, 82475196, 82475211, 82485915, 82510691, 82536002, 82567117, 82596824, 82635657, 82981260, 82983120, 83026364, 83027489, 83128980, 83199255, 83258373, 83408167, 83412755, 83609958, 83738113, 83750239, 83766525, 83773772, 83790213, 83791607, 83792652, 83855031, 83855374, 83864589, 83953608, 84079882, 84099478, 84105032, 84201101, 84316596, 84317352, 84448924, 84515052, 84516897, 85292576, 85292577, 85523252, 85533849, 85535183, 85535334, 85997996, 85998697, 86001756, 86033836, 87180689, 87535249, 88381902, 88461052, 89728867, 90330213, 90335841, 90565114]"
TSINGHUA UNIVERSITY,University,99,2001,2023,11,13,"[4669365, 36866510, 38879898, 39622973, 39995081, 40709088, 41282191, 42417265, 43574668, 43600527, 44294643, 44600353, 47400861, 48570984, 48570992, 48835070, 49096832, 51548216, 51548217, 54409248, 54655778, 54801974, 55101346, 55433555, 55671004, 59469918, 63575376, 65555187, 66071766, 66123727, 66149295, 66358203, 66502725, 67786126, 67961481, 68217467, 70790396, 70790399, 71547990, 72845781, 73582759, 74827535, 76113195, 76165144, 76230891, 76347635, 76777372, 77130881, 77132949, 77281147, 77677403, 78121739, 78177730, 78255631, 78305962, 78387493, 78834189, 79464449, 80212096, 80283357, 82420532, 82770049, 82963246, 82968996, 83204736, 83300867, 83314498, 83334183, 83335258, 83407382, 83583067, 83673963, 83681521, 84004532, 84126498, 84396736, 85099168, 86076276, 86414159, 86484771, 86802322, 86941635, 86968280, 87028515, 87403371, 87593050, 87681025, 87842267, 87867537, 87987104, 88866992, 88938440, 89247086, 89247318, 89924972, 90309356, 90602256, 91232527, 93024249]"
MITSUBISHI HEAVY INDUSTRIES,Company,81,2000,2023,16,14,"[18620888, 18654268, 18658520, 18743998, 18790428, 18792424, 18864706, 18944467, 18954518, 19093489, 19108696, 19111267, 19114408, 19134265, 19137349, 19167878, 26603210, 27602483, 29234765, 32281239, 32828367, 34368007, 34370429, 34694579, 34996750, 35325203, 35435805, 35485382, 35485383, 36728105, 37791352, 37936633, 38485288, 38550708, 39693659, 40236578, 40869156, 40969756, 41182822, 42186619, 42186620, 42192869, 43537958, 43563737, 43563738, 47422474, 47782412, 48708934, 48772373, 49265004, 49520149, 49675550, 49677909, 50746326, 51173713, 51173714, 69722559, 70332087, 76576079, 81604375, 84691179, 85086475, 85476827, 85782214, 86538286, 87002085, 89382194, 89536573, 89536577, 89706463, 89851359, 89851397, 90474168, 91032714, 92174625, 92421412, 92590310, 92674527, 92841237, 92904238, 92904922]"
BEIJING UNIVERSITY OF CHEMICAL TECHNOLOGY,University,72,2010,2023,3,15,"[44294641, 46523132, 46945704, 47026367, 50797112, 54440536, 55366364, 56034334, 56227226, 58946045, 59118500, 59453976, 60337859, 63661861, 63744062, 64136097, 65079736, 66603336, 67166917, 67574633, 68866591, 70427674, 70653321, 70655038, 70703811, 70923937, 72474389, 72656757, 72754658, 73944334, 74583209, 77025896, 77221131, 78065242, 78133730, 78834189, 78877806, 80067056, 81628242, 82420532, 82958164, 83242435, 83481503, 85015318, 86025434, 86124754, 86187765, 86213469, 86290484, 86552411, 86581964, 86833540, 87390612, 87444291, 87449095, 87782191, 87954101, 87965016, 88662646, 89090898, 89238543, 89238842, 89587372, 90024617, 90585515, 90587240, 90988149, 91814517, 92569890, 93156456, 93346903, 93478710]"
"SUNSHINE HYDROGEN ENERGY TECHNOLOGY CO., LTD.",Company,71,2022,2023,1,16,"[82294631, 82316294, 82318675, 82432335, 82534659, 82574495, 83130017, 83174061, 83176854, 83182522, 83650746, 83657005, 83857897, 83970164, 83979091, 83980654, 83984983, 83988852, 84672462, 84677591, 84679810, 84681203, 84683969, 85370200, 85371012, 85712581, 85715029, 85715260, 85715283, 85715752, 85715863, 85716265, 87858162, 87861754, 87861908, 87877424, 87878774, 87878776, 88383976, 88579482, 88583068, 88590374, 88591279, 88593484, 88794164, 88934861, 89647912, 89651976, 89656965, 89741347, 90017128, 90369842, 90374181, 90405700, 90408097, 90408812, 90410589, 90411854, 90857128, 90974158, 91011148, 91011582, 91017671, 91020463, 91416293, 91416390, 92337901, 92342251, 92346200, 92374158, 93054983]"
"SICHUAN HUANENG HYDROGEN TECHNOLOGY CO., LTD.",Company,66,2021,2023,3,17,"[77093417, 82194940, 82195052, 82231814, 82345443, 82381314, 82381562, 82381841, 82382703, 82390135, 82439341, 82442216, 82474677, 82475196, 82475211, 82475414, 82485915, 82510691, 82536002, 82567117, 82596824, 82635657, 82981260, 82983120, 83026364, 83027489, 83128980, 83199255, 83258373, 83408167, 83412755, 83609958, 83738113, 83750239, 83754682, 83766525, 83773772, 83790213, 83791607, 83792652, 83855031, 83855374, 83864589, 83953608, 84079882, 84099478, 84105032, 84201101, 84316596, 84317352, 84448924, 84515052, 84516897, 84803018, 85292576, 85292577, 85523252, 85533849, 85535183, 85535334, 88381902, 88461052, 89728867, 90330213, 90335841, 90565114]"
SOUTH CHINA UNIVERSITY OF TECHNOLOGY,University,63,2005,2023,6,18,"[34894344, 35049411, 36842038, 39094294, 39191829, 40188681, 41468449, 43452945, 43893368, 44667227, 55552124, 56159260, 56252426, 57033258, 59445563, 61050389, 63263744, 63516203, 63870687, 64813976, 64893053, 65465633, 65749265, 67131928, 67592420, 68191463, 68191472, 68414043, 68506752, 68624655, 68773396, 69041938, 69279407, 70235424, 70313972, 70320479, 71165359, 71695680, 72187099, 73411253, 74937830, 75043338, 77131636, 78010174, 78010702, 82243509, 82673138, 82807103, 83124611, 86255076, 86623609, 86961112, 86980545, 87711611, 87907193, 88795549, 88942121, 89281929, 89403475, 90074255, 90157020, 90420804, 90769119]"
ZHEJIANG UNIVERSITY,University,61,2008,2023,7,19,"[40643960, 41122434, 43547646, 45882796, 48058183, 52239818, 56402347, 56403772, 57480201, 60194259, 63690355, 64910301, 65157323, 65373457, 66008879, 68979478, 70304281, 70961202, 72571548, 73857941, 74653684, 74927614, 75924377, 76384772, 76885232, 77221304, 77882619, 78091123, 78836303, 80278106, 80974727, 81100932, 81661793, 81675843, 82535838, 82678383, 82717596, 82911045, 82955436, 83250575, 83296722, 83378124, 83382161, 85342879, 85544860, 86653227, 86819405, 86930505, 87084681, 87220241, 87592833, 87681115, 87784390, 88561863, 89037714, 89125771, 89130598, 89215977, 89362223, 89495179, 89888972]"
"SICHUAN HUANENG HYDROGEN ENERGY TECHNOLOGY CO., LTD.",Company,60,2021,2023,2,20,"[76680794, 76817266, 76876927, 77093417, 77577619, 78329220, 78388019, 78419632, 78419635, 78478379, 78484752, 78484762, 78496421, 78548952, 78620147, 78623959, 78658060, 78684563, 78691188, 78736976, 78775654, 78937626, 78966314, 78966971, 78967979, 78985790, 78992458, 79016331, 79185019, 79189045, 79218031, 79236898, 79246286, 79284831, 79284832, 79284848, 79337269, 79393853, 79462988, 79467649, 79561233, 79750111, 79853027, 79884953, 79902706, 79906045, 79918567, 79930970, 80007797, 80016609, 80138159, 80297835, 80395179, 80750606, 85997996, 85998697, 86001756, 86033836, 87180689, 87535249]"
HITACHI,Company,58,2001,2023,16,21,"[19158054, 19169153, 29996739, 34542961, 37474503, 40145622, 40157562, 40751782, 45066732, 45416176, 45892560, 45892561, 47436630, 47756020, 47995010, 48697022, 49881530, 49881531, 49881792, 50434671, 50788108, 51425149, 52828086, 56564063, 58279094, 59565174, 61248694, 62237359, 62237369, 67771841, 67995017, 77174064, 77890019, 77891001, 77891612, 80118843, 80225651, 80352944, 80448674, 84323187, 85154453, 85199193, 85412078, 86998877, 88518492, 89806567, 90012853, 90476716, 90830624, 90930188, 91034242, 91587913, 91716904, 92423520, 92841499, 93518796, 93938257, 94281392]"
XIAN THERMAL POWER RESEARCH INSTITUTE COMPANY,Company,57,2011,2023,4,22,"[44437722, 49874165, 68557217, 68557282, 69116708, 70965811, 71800271, 72863757, 73981483, 74474373, 75864277, 76040449, 76460407, 76680627, 76986232, 78136759, 78241026, 78340189, 78457976, 78571681, 78594422, 78615628, 78726804, 78736582, 78781236, 78878130, 78986224, 79183085, 79666683, 79925633, 80061869, 80276398, 80283914, 82170703, 82231618, 82434802, 83010043, 83583570, 83593223, 84006295, 84006909, 85959619, 85962471, 86125113, 86300472, 86580377, 86627358, 87052673, 87150338, 87178754, 87244942, 87402360, 87777828, 87865272, 88803075, 89404097, 90488952]"
