NUTS3;CODE
'DEG0S';'98711'
'DE276';'86462'
'DEA1E';'41749'
'DEA15';'41065'
'DEA1D';'41363'
'DEA14';'47802'
'DEB24';'54585'
'DE721';'35435'
'DE724';'35096'
'DE716';'64367'
'DEA47';'33178'
'DE712';'60311'
'DED44';'08548'
'DE239';'92533'
'DE227';'84036'
'DE21K';'83569'
'DE24D';'95691'
'DED52';'04523'
'DE23A';'95692'
'DE12C';'72296'
'DE128';'68799'
'DE721';'35428'
'DE135';'78628'
'DE711';'64295'
'DEA42';'33428'
'DE723';'35796'
'DE722';'35716'
'DEB35';'55130'
'DEF0C';'24999'
'DE114';'73066'
'DE148';'88276'
'DE148';'88214'
'DE145';'72589'
'DEF0B';'24594'
'DE145';'89617'
'DEF0C';'24894'
'DE214';'84558'
'DE235';'93495'
'DED53';'04880'
'DE235';'93437'
'DE80J';'17153'
'DE224';'94562'
'DED41';'09116'
'DE224';'94469'
'DED41';'09120'
'DED42';'09487'
'DED45';'08459'
'DE80L';'18374'
'DE21M';'84529'
'DEB23';'54647'
'DEB25';'54316'
'DEA12';'47139'
'DEA27';'50259'
'DEA11';'40468'
'DEB24';'54552'
'DE712';'60439'
'DE12A';'72221'
'DE128';'69214'
'DE137';'78591'
'DE12A';'72229'
'DE712';'60314'
'DE715';'64668'
'DE137';'78582'
'DE716';'64859'
'DE501';'28199'
'DE922';'28844'
'DE137';'78589'
'DE713';'63073'
'DE138';'78224'
'DE128';'74915'
'DE21J';'85301'
'DE212';'80803'
'DE21A';'85469'
'DEE06';'39319'
'DEG02';'07545'
'DE238';'84069'
'DE238';'93173'
'DE21K';'83134'
'DE227';'84169'
'DE227';'84171'
'DEE08';'06729'
'DE238';'93170'
'DE21K';'83564'
'DE21G';'83536'
'DE239';'92431'
'DED45';'08451'
'DE238';'93086'
'DED51';'04157'
'DE132';'79238'
'DEB24';'54550'
'DE236';'92353'
'DE934';'29475'
'DE300';'13059'
'DE300';'13057'
'DE80L';'18581'
'DE407';'04928'
'DE300';'12559'
'DED21';'01097'
'DED21';'01326'
'DE409';'15344'
'DE406';'15913'
'DE40G';'03099'
'DE402';'03055'
'DEA1B';'47624'
'DEB23';'54649'
'DEA27';'50189'
'DEB25';'54309'
'DEC04';'66740'
'DEB22';'54518'
'DEA11';'40474'
'DEA16';'45478'
'DEA34';'48683'
'DEB22';'54498'
'DE722';'35689'
'DE136';'78166'
'DE722';'35756'
'DEA57';'59909'
'DE922';'49459'
'DEB1C';'56761'
'DEA36';'45701'
'DEA22';'53229'
'DEA11';'40470'
'DEA11';'40599'
'DEB25';'54413'
'DEA16';'45475'
'DEA23';'50739'
'DEC06';'66636'
'DEB15';'55767'
'DEA35';'48720'
'DE132';'79822'
'DE722';'35759'
'DE124';'76437'
'DE94E';'49143'
'DE943';'26122'
'DE121';'76532'
'DE13A';'79790'
'DEB18';'56307'
'DEB3F';'66862'
'DEB1A';'56337'
'DEB3F';'67732'
'DEA12';'47138'
'DEA16';'45468'
'DEC03';'66571'
'DEA32';'45896'
'DEA19';'42719'
'DEC01';'66132'
'DE139';'79400'
'DEB1D';'55497'
'DEA2A';'51580'
'DEB1D';'56329'
'DE132';'79189'
'DEA37';'49549'
'DEB3F';'67731'
'DE71D';'65385'
'DE94E';'49219'
'DEA57';'59846'
'DE71D';'65375'
'DEB3G';'66871'
'DEA56';'58285'
'DEB1D';'55481'
'DEA56';'58453'
'DE947';'26579'
'DEA2B';'51399'
'DEB1C';'56862'
'DEA51';'44879'
'DE949';'49716'
'DEB22';'54483'
'DEA51';'44867'
'DEA2C';'53721'
'DE139';'79739'
'DEB14';'55452'
'DE131';'79117'
'DEB14';'55546'
'DEB1B';'57647'
'DEB3H';'67377'
'DE723';'65597'
'DEA18';'42857'
'DE947';'26759'
'DEB1C';'56818'
'DEC03';'66538'
'DEA51';'44797'
'DEA55';'44623'
'DEB1C';'56754'
'DEA37';'48612'
'DE929';'31515'
'DE269';'97903'
'DE719';'63628'
'DE118';'74245'
'DEF0C';'24976'
'DE116';'71579'
'DEF01';'24939'
'DE26A';'97782'
'DE929';'30167'
'DE148';'88279'
'DEF09';'25497'
'DE145';'89155'
'DE11D';'73577'
'DE11D';'73550'
'DE145';'89610'
'DEF09';'25462'
'DE11A';'74541'
'DE144';'89079'
'DE114';'89558'
'DEF0C';'24376'
'DE600';'22763'
'DE21M';'83359'
'DEG07';'99762'
'DE147';'88086'
'DEF09';'25404'
'DEG0Q';'98599'
'DEG0T';'98708'
'DE93A';'29568'
'DEA28';'04760'
'DEE08';'06725'
'DEE0E';'06786'
'DEB1B';'56462'
'DE133';'79261'
'DEB3C';'67472'
'DEA57';'59821'
'DE13A';'79872'
'DE94F';'49451'
'DEB3E';'76779'
'DE134';'77796'
'DEB18';'56581'
'DEA53';'58097'
'DEA2A';'51588'
'DEB3K';'66507'
'DEA35';'59394'
'DEB3K';'66989'
'DEB17';'56333'
'DEB13';'57612'
'DEA15';'41069'
'DE929';'31303'
'DE925';'31134'
'DE26C';'97236'
'DE600';'22335'
'DE146';'88489'
'DE600';'22297'
'DEF0F';'21509'
'DEF0A';'24222'
'DE935';'21449'
'DEF0A';'24326'
'DEF0A';'24217'
'DEF06';'21529'
'DE93A';'29582'
'DE27C';'87733'
'DE27D';'86757'
'DE911';'38122'
'DEF08';'23623'
'DE914';'38533'
'DE914';'38531'
'DE911';'38108'
'DE722';'35644'
'DEA41';'33647'
'DEA41';'33739'
'DE722';'35753'
'DE134';'78132'
'DE94F';'49377'
'DE714';'65187'
'DEB35';'55118'
'DE922';'49457'
'DEA42';'33332'
'DEF08';'23769'
'DE21N';'82436'
'DE80M';'19209'
'DE21D';'82438'
'DE248';'91338'
'DE236';'90602'
'DE246';'96142'
'DE259';'90607'
'DEE04';'39619'
'DE114';'73347'
'DE116';'73553'
'DE114';'73108'
'DE300';'12353'
'DE300';'12435'
'DE300';'10319'
'DE300';'12683'
'DE405';'16230'
'DED2F';'01768'
'DED2F';'01728'
'DE40I';'16278'
'DE40B';'03103'
'DE409';'15324'
'DED2D';'02763'
